item_id,price,developer,release_date
761140,4.99,Kotoshiro,2018-01-04
643980,Free To Play,Secret Level SRL,2018-01-04
670290,Free to Play,Poolians.com,2017-07-24
767400,0.99,彼岸领域,2017-12-07
772540,3.99,Trickjump Games Ltd,2018-01-04
774276,9.99,Poppermost Productions,2018-01-04
774277,18.99,Poppermost Productions,2018-01-04
774278,29.99,Poppermost Productions,2018-01-04
770380,10.99,Stegalosaurus Game Development,2018-01-04
768880,3.99,Copperpick Studio,2018-01-04
765320,2.99,Ghulam Jewel,2018-01-03
773650,1.59,Apillo,2018-01-03
774271,14.99,Poppermost Productions,2018-01-03
773690,1.99,Apillo,2018-01-03
774279,59.99,Poppermost Productions,2018-01-03
768060,0.99,Tero Lunkka,2018-01-03
775880,2.99,FrozenPepper,2017-12-22
775881,2.99,FrozenPepper,2017-12-23
653960,4.99,Casey Labrack,2018-01-03
282010,9.99,Stainless Games Ltd,1997-06-30
70,9.99,Valve,1998-11-08
752360,1.99,dev4play,2016-11-25
766850,0.99,ETGgames,2018-01-01
754360,8.99,The Commander,2018-01-01
716110,0.99,"lalalaZero,Urbanoff",2018-01-01
1640,6.99,Strategy First,2006-07-06
1630,6.99,Strategy First,2006-07-06
2400,9.99,Outerlight Ltd.,2006-07-11
759920,7.99,Ultraint,2017-12-29
603280,10.99,TPM.CO SOFT WORKS,2017-12-29
753110,9.99,Wonderbox Games,2017-12-29
753100,9.99,Wonderbox Games,2017-12-29
764280,1.99,Mad Unicorn Games,2017-12-30
758550,0.99,Emanon Studios,2017-12-29
3800,9.99,GlyphX Games,2005-08-09
1520,9.99,Introversion Software,2006-09-29
2420,9.99,Outerlight Ltd.,2006-11-20
4000,9.99,Facepunch Studios,2006-11-29
4230,39.99,SimBin,2006-11-24
4900,Free,Unknown Worlds Entertainment,2006-12-14
2520,4.99,"CINEMAX, s.r.o.",2006-12-19
6200,4.99,Sick Puppies,2003-08-23
6210,4.99,Deepred,2006-12-21
6300,19.99,Funcom,2006-04-17
2990,9.99,Bugbear Entertainment,2006-08-01
6220,7.49,Bugbear Entertainment,2005-07-12
6510,14.99,"CAPCOM Co., Ltd.",2007-06-26
3980,9.99,"FireFly Studios,Firaxis Games",2006-07-24
