item_id,sentiment_analysis,release_date
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,0,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,0,2009-05-14
1250,0,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,0,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,2,2009-05-14
1250,1,2009-05-14
1250,1,2009-05-14
1250,0,2009-05-14
1250,1,2009-05-14
1250,0,2009-05-14
1250,0,2009-05-14
1250,2,2009-05-14
